firstname,surname,coach_type_name,country,age,team,league
Alexander,Blessin,Cheftrainer,Deutschland,53,Ohne aktuelles Team,
Werner,Gregoritsch,Cheftrainer,Österreich,68,Ohne aktuelles Team,
Bradley,Carnell,Cheftrainer,Südafrika,49,Ohne aktuelles Team,
Tolunay,Kafkas,Cheftrainer,Türkei,58,Ohne aktuelles Team,
Dino,Toppmöller,Cheftrainer,Deutschland,45,Ohne aktuelles Team,
Régi,Van Acker,Cheftrainer,Belgien,71,Ohne aktuelles Team,
,Xabi Alonso,Cheftrainer,Spanien,44,Ohne aktuelles Team,
Mitja,Morec,Cheftrainer,Slowenien,43,Ohne aktuelles Team,
Erol,Bulut,Cheftrainer,Türkei,51,Ohne aktuelles Team,
Horst,Steffen,Cheftrainer,Deutschland,57,Ohne aktuelles Team,
Luka,Elsner,Cheftrainer,Slowenien,43,Ohne aktuelles Team,
Jürgen,Säumel,Cheftrainer,Österreich,41,Ohne aktuelles Team,
Roger,Schmidt,Cheftrainer,Deutschland,59,Ohne aktuelles Team,
Marco,Antwerpen,Cheftrainer,Deutschland,54,Ohne aktuelles Team,
Timmy,Simons,Cheftrainer,Belgien,49,Ohne aktuelles Team,
Peter,Pacult,Cheftrainer,Österreich,66,Ohne aktuelles Team,
Adi,Hütter,Cheftrainer,Österreich,56,Ohne aktuelles Team,
Nils,Döring,Cheftrainer,Deutschland,46,Ohne aktuelles Team,
Jürgen,Luginger,Cheftrainer,Deutschland,58,Ohne aktuelles Team,
Andreas,Heraf,Cheftrainer,Österreich,58,Ohne aktuelles Team,
Ludovic,Magnin,Cheftrainer,Schweiz,47,Ohne aktuelles Team,
Dimitri,Abazadze,Cheftrainer,Georgien,54,Ohne aktuelles Team,
Thomas,Letsch,Cheftrainer,Deutschland,57,Ohne aktuelles Team,
Martin,Scherb,Cheftrainer,Österreich,56,Ohne aktuelles Team,
Thomas,Wörle,Cheftrainer,Deutschland,44,Ohne aktuelles Team,
Ralph,Hasenhüttl,Cheftrainer,Österreich,58,Ohne aktuelles Team,
Robert,Klauß,Cheftrainer,Deutschland,41,Ohne aktuelles Team,
Daniel,Beichler,Cheftrainer,Österreich,37,Ohne aktuelles Team,
Darko,Milanič,Cheftrainer,Slowenien,58,Ohne aktuelles Team,
Gerhard,Kleppinger,Cheftrainer,Deutschland,68,Ohne aktuelles Team,
Jens,Martens,Cheftrainer,Deutschland,70,Ohne aktuelles Team,
Martin,Stocklasa,Cheftrainer,Liechtenstein,47,Ohne aktuelles Team,
Sreto,Ristić,Cheftrainer,Serbien,50,Ohne aktuelles Team,
Kristjan,Glibo,Cheftrainer,Deutschland,44,Ohne aktuelles Team,
Daniel,Petrowsky,Cheftrainer,Deutschland,49,Ohne aktuelles Team,
Ersan,Parlatan,Cheftrainer,Deutschland,48,Ohne aktuelles Team,
Uwe,Wolf,Cheftrainer,Deutschland,58,Ohne aktuelles Team,
Markus,Zschiesche,Cheftrainer,Deutschland,44,Ohne aktuelles Team,
Manuel,Hartmann,Cheftrainer,Deutschland,42,Ohne aktuelles Team,
Uwe,Rapolder,Cheftrainer,Deutschland,68,Ohne aktuelles Team,
Erik,ten Hag,Cheftrainer,Niederlande,56,Ohne aktuelles Team,
Michael,Urbansky,Cheftrainer,Deutschland,44,Ohne aktuelles Team,
Roberto,Hilbert,Cheftrainer,Deutschland,41,Ohne aktuelles Team,
Christoph,Dabrowski,Cheftrainer,Deutschland,47,Ohne aktuelles Team,
Bernd,Hollerbach,Cheftrainer,Deutschland,56,Ohne aktuelles Team,
Edin,Terzić,Cheftrainer,Deutschland,43,Ohne aktuelles Team,
Andries,Jonker,Cheftrainer,Niederlande,63,Ohne aktuelles Team,
Bernhard,Trares,Cheftrainer,Deutschland,60,Ohne aktuelles Team,
