Sporting Director,SD Current Club,SD Current Role,Head Coach,Coach Current Club,Clubs Worked Together,Number of Clubs,Periods,Total Years Together,Hiring Likelihood,Relationship Strength,Most Recent Club,Most Recent Year
PeterChristiansen,VfL Wolfsburg,Geschäftsführer Sport,Daniel Bauer,VfL Wolfsburg,VfL Wolfsburg,1,"2025-2026, 2024-2026",10,HIGH,90,VfL Wolfsburg,2025
MarcelSchäfer,RB Leipzig,Geschäftsführer Sport,Alexander Blessin,FC St. Pauli,RB Leipzig,1,2024-2026,16,LOW,82,RB Leipzig,2024
AndreasSchicker,TSG Hoffenheim,Geschäftsführer Sport,Christian Ilzer,TSG Hoffenheim,"Sturm Graz, Wiener Neustadt, TSG Hoffenheim",3,"2020-2024, 2015-2016, 2017-2018, 2024-2026",8,HIGH,81,TSG Hoffenheim,2024
MarcelSchäfer,RB Leipzig,Geschäftsführer Sport,Daniel Bauer,VfL Wolfsburg,VfL Wolfsburg,1,"2018-2022, 2020-2022, 2022-2023, 2021-2022",15,MEDIUM,80,VfL Wolfsburg,2022
MaxEberl,FC Bayern München,Sportvorstand,Alexander Blessin,FC St. Pauli,RB Leipzig,1,2022-2023,8,LOW,66,RB Leipzig,2022
MarkusKrösche,Eintracht Frankfurt,Sportvorstand,Alexander Blessin,FC St. Pauli,RB Leipzig,1,2019-2020,8,LOW,66,RB Leipzig,2019
HolgerSanwald,1. FC Heidenheim,Vorstandsvorsitzender,Frank Schmidt,1. FC Heidenheim,1.FC Heidenheim,1,2016-2026,20,LOW,60,1.FC Heidenheim,2016
ClemensFritz,Werder Bremen,Geschäftsführer Profifußball,Ole Werner,RB Leipzig,Werder Bremen,1,"2021-2023, 2024-2026, 2021-2022",5,HIGH,50,Werder Bremen,2024
NikoBungert,1. FSV Mainz 05,Sportdirektor,Kasper Hjulmand,Bayer 04 Leverkusen,1.FSV Mainz 05,1,"2019-2019, 2021-2023, 2023-2024, 2024-2026, 2021-2021",5,LOW,45,1.FSV Mainz 05,2024
JochenSaier,SC Freiburg,Sportvorstand,Julian Schuster,SC Freiburg,SC Freiburg,1,"2018-2026, 2024-2026",10,MEDIUM,40,SC Freiburg,2024
